language,term,stemmed.term,
0,،لم,لم,
0,.أحد,احد,
0,.أخبريني,أخبريني,
0,.بدون,بدون,
0,.بدون,بدون,
0,.شخص,شخص,
0,.شخص,شخص,
0,.شخصٌ,شخص,
0,.شيء,شيء,
0,.شيءٌ,شيء,
0,.شيءٌ,شيء,
0,.شيئاً,شيئاً,
0,.شيئاً,شيئاً,
0,.عملنا,عملنا,
0,.لاشيء,لاشيء,
0,.لاشيء,لاشيء,
0,.لم,لم,
0,.لن,لن,
0,.مجرّد,مجرّد,
0,.مجرّد,مجرّد,
0,أؤذيك,أؤذيك,
0,‫أبدا,‫أبدا,
0,أبدا,‫أبدا,
0,أبداً,‫أبدا,
0,أبدًا,‫أبدا,
0,أحد,أحد,
0,أحدً,أحد,
0,أحدً,أحد,
0,أحد،,أحد,
0,أحد،,أحد,
0,أحد؟,أحد,
0,أحداً,أحداً,
0,أحدًا,أحداً,
0,أحدكم,أحدكم,
0,أحدهم,أحدكم,
0,أحدهم؟,أحدكم,
0,أحدهم؟,أحدكم,
0,أقترب,أقترب,
0,أقترب,أقترب,
0,أكُن,أكُن,
0,أكُن,أكُن,
0,ألا,ألا,
0,ألم,ألم,
0,أمِن,أمِن,
0,أهلاً,أهلاً,
0,أهلاً,أهلاً,
0,أى,أى,
0,أىّ,أى,
0,أي,أى,
0,أيّ,أى,
0,أيُّ,أى,
0,إطلاقاً,إطلاقاً,
0,ابدا,‫أبدا,
0,احد,احد,
0,‫افعل,‫افعل,
0,اقتلوه،,اقتلوه،,
0,اقتلوه،,اقتلوه،,
0,الأحوال,الأحوال,
0,الأوقات,الأوقات,
0,التصرّف,التصرّف,
0,التصرّف,التصرّف,
0,الجميع.بخير,الجميع.بخير,
0,الجميع.بخير,الجميع.بخير,
0,الرحب,الرحب,
0,الشئ،,الشئ,
0,الشيء,الشئ,
0,الشيء,الشئ,
0,القطر,القطر,
0,القطر,القطر,
0,امرؤ,امرؤ,
0,انظروا،,انظروا،,
0,اي,أى,
0,بأي,أى,
0,باردًا,باردًا,
0,باردًا,باردًا,
0,باستطاعة,باستطاعة,
0,باستطاعة,باستطاعة,
0,باعتقادك؟,باعتقادك,
0,باعتقادك؟,باعتقادك,
0,بشئ,بشئ,
0,بشخص,بشخص,
0,بشيء,بشيء,
0,بشيئاً،,بشيئاً،,
0,بوسعه,بوسعه,
0,تأذى,بوسعه,
0,تُذكر,تُذكر,
0,تراه,تراه,
0,جيّدً,جيّدً,
0,حيلة,حيلة,
0,خطب,خطب,
0,داعي,داعي,
0,رأى,رأى,
0,سكان,سكان,
0,سيتذكّر,سيتذكّر,
0,شئ,شيء,
0,شئ،,شيء,
0,شخص,شخص,
0,‫شخصٌ,شخص,
0,شخص؟,شخص,
0,شخصا,شخص,
0,شخصاً,شخص,
0,شخصًا,شخص,
0,شىء,شيء,
0,شيء,شيء,
0,شيءٌ,شيء,
0,شيءٍ,شيء,
0,شيء؟,شيء,
0,شيئ,شيء ما,
0,شيئا,شيء ما,
0,شيئاً,شيء ما,
0,شيئًا,شيء ما,
0,شيئا،,شيء ما,
0,شيئا؟,شيء ما,
0,شيئاً؟,شيء ما,
0,شيئًا؟,شيء ما,
0,شيىء,شيء ما,
0,فعل,فعل,
0,فلم,فلم,
0,كان؟,كان؟,
0,لأحد,لأحد,
0,لأي,ي,
0,لاشئ,لاشئ,
0,لديه,لديه,
0,لرجل,لرجل,
0,لشخص,لشخص,
0,لشيء,لشيء,
0,للخوف,للخوف,
0,ليس,ليس,
0,ليساعدني,ليساعدني,
0,ما؟,ما؟,
0,مثير،,مثير،,
0,مزيد,مزيد,
0,مكروه,مكروه,
0,مماثلاً,مماثلاً,
0,نحضر,نحضر,
0,نفسك؟,نفسك؟,
0,نكرة,نكرة,
0,‫هل,‫هل,
0,وجِد,وجِد,
0,ولا,ولا,
0,يتحتم,يتحتم,
0,يتحركن,يتحركن,
0,يدخل,يدخل,
0,يدعو,يدعو,
0,يوجد,يوجد,
0,,,
1,hикoй,никой,
